Curve Original,Function,"Error, %","Structure Depth, um","Modification diameter, um",x^4,x^3,x^2,x^1,x^0
12.1_defected_assembled_curve_coords,-0.00001x^4 +0.00101x^3 -0.03989x^2 -0.91439x +51.85083,0.82 %,0.14,0.27,-5.165919e-06,1.008673e-03,-3.988965e-02,-9.143857e-01,5.185083e+01
7.1_assembled_curve_coords,-0.00000x^4 +0.00001x^3 -0.00219x^2 -0.08565x +25.08761,1.56 %,0.07,0.92,-2.110489e-08,1.437871e-05,-2.190832e-03,-8.565211e-02,2.508761e+01
9.1_assembled_curve_coords,-0.00000x^4 +0.00001x^3 -0.00223x^2 -0.07490x +36.37113,2.23 %,0.10,1.19,-1.272789e-08,1.100429e-05,-2.225606e-03,-7.489605e-02,3.637113e+01
3.2_assembled_curve_coords,-0.00000x^4 +0.00000x^3 -0.00053x^2 -0.16466x +26.34612,2.62 %,0.07,1.07,-5.807589e-09,4.518254e-06,-5.255594e-04,-1.646636e-01,2.634612e+01
5.3_assembled_curve_coords,-0.00000x^4 +0.00007x^3 -0.01677x^2 -0.00834x +237.23863,2.21 %,0.66,1.31,-7.288100e-08,6.976206e-05,-1.677249e-02,-8.342508e-03,2.372386e+02
6.3_assembled_curve_coords,-0.00000x^4 +0.00007x^3 -0.01888x^2 +0.68813x +207.98627,2.95 %,0.61,1.43,-6.434273e-08,6.733070e-05,-1.888270e-02,6.881323e-01,2.079863e+02
9.3_defected_assembled_curve_coords,-0.00000x^4 +0.00032x^3 -0.03068x^2 +0.15090x +63.49987,2.03 %,0.17,0.51,-8.605115e-07,3.153152e-04,-3.067687e-02,1.508972e-01,6.349987e+01
11.2_defected_assembled_curve_coords,-0.00000x^4 +0.00027x^3 -0.01735x^2 +0.07701x +12.96203,1.06 %,0.08,0.33,-9.874992e-07,2.664356e-04,-1.735069e-02,7.700538e-02,1.296203e+01
4.1_assembled_curve_coords,-0.00000x^4 +0.00008x^3 -0.01905x^2 +0.58523x +147.63871,3.32 %,0.43,1.21,-9.381383e-08,8.162416e-05,-1.904761e-02,5.852312e-01,1.476387e+02
11.1_assembled_curve_coords,-0.00000x^4 +0.00004x^3 -0.00494x^2 +0.01638x +21.85963,5.79 %,0.05,0.70,-7.570496e-08,3.791139e-05,-4.941228e-03,1.637763e-02,2.185963e+01
